id_unico,text
576,A bull fighting arena turned into a mall  ??  A good way to use a historical place rather than tearing it down let… https://t.co/ElGJsimFw8
581,#Vacaciones #Vacances #Holidays ☀️ #SunnyDay #Summer #Estiu #Verano ? #Platja #Playa #Brisa #Mar #Mediterraneo ?… https://t.co/3USnvjlnnZ
629,Podéis disfrutarlo las 24 horas en Dalila Travestis Barcelona en Consejo De Ciento https://t.co/cLlFKogMgU
680,Hoy un gran día para cazar cositas rica con instaavics el y su #snesonechip. Y yo con un juguetito que llevo detrás… https://t.co/T3eBLw1IpJ
685,"Codorniz escabechada con verduras

#barcelona #plazaespañabarcelona
#barridesants #montjuich #restaurant… https://t.co/gdNs597kqe"
691,"Come to my frame and break it...XVS
Here with amazing artist filipe.mino and best #xvsmodel  for #xvsavalon soon on… https://t.co/gMZdfBL1Oz"
721,"Ay lo que se avecina... ?
#girls #summer #younow #nyxcosmetics_es #maccosmetics_es en Barcelona Spain https://t.co/mLSOxYU1TE"
754,...програмата за денес... @ Camp Nou (FC Barcelona) https://t.co/92Wa9ZOrkd
790,"ittnaaa maza araha hai by god ??
@MazzeLelo is the bestt ❤️? @ Santa Maria del Mar Barcelona https://t.co/ajRI8yDVs4"
811,"Dinant amb una ? copa de més i quina ?Copa ‼️
.....
#copadelalliga #dinar #benacompanyat #companysorpresa #lliga… https://t.co/XATmWcaZUH"
814,New Chain⚡️Emoticon Diablo 14K Gold Plated &amp; CZ Rocks Necklace x King Ice L.A⚡️Now @ Block Shops Barcelona⚡️BLOCK#1… https://t.co/1VAQ1vBBGi
827,"Compartir todo lo bueno
Y aprender a vivir lento
? en La Maquinista https://t.co/VDZ6Q2K0jR"
837,Sofia Coll and Ana Nieto https://t.co/8GjfCgaIHS en #Barcelona #mañana #music #concert
844,New Bags 2.0⚡️Official Melrose Chest Tri-Strap &amp; Hip Bags x Official Brand?Go Fast @blockshopbcn &amp;… https://t.co/Op8LpH2J0x
853,"En Barcelona tres años después.
.
.
.
.
.
.
.
.
.
.
#barcelona #catedral #yucateco #trip #travel #goth #gothic en… https://t.co/9iuuKEc65G"
856,Специјален гостин на македонската пења на Собранието и Конгресот е претставникот на гостите на Џоан Гампер купот...… https://t.co/oiTqualt1Q
859,Limited⚡️SpongeBob XL 18K Gold Plated &amp; CZ Rocks Cuban Chain x King Ice L.A⚡️Now @ Block Shops Barcelona⚡️BLOCK#1 P… https://t.co/NpgmJQd7le
866,? @ Font Màgica de Montjuïc - Magic Fountain https://t.co/UdORF1fQIF
872,Duplex Vuoi saperne di più? Scopri le ragazze che offrono  a #FelinaBCN: https://t.co/OvwgOGDHBT
874,#RETENCIÓN nivel AMARILLO en #C32 (pk 63 al 61 norte) ESPLUGUES DE LLOBREGAT #DGTBarcelona #DGT https://t.co/eZaTHH0R0X
885,Evolución de una fideuá Calderaro en Cornellà de Llobregat https://t.co/0Q1gzlpRzp
899,#BeachBumDay @ El Chiringuito La Mar Bella https://t.co/BQwvKuDf0e
920,Isma Glamour Salida de chicas verano 2019 ! Preparadas para vacaciones!!!!!! en Barcelona Spain https://t.co/KnFDuwlHcc
934,special mention and appreciation post for this insane burrata eggplant obe_restaurant #Barcelona. Greaat vino selec… https://t.co/GY3iaO28aX
948,Lluc The Lion King #thelionking #sharpei #dogsofinstagram @ el Poblenou Barcelona https://t.co/fz82TiXBhZ
949,#germanes #nicontigonisinti #mesguapesimpossible #semprejuntes laiabartolome__2206 @ R????????? ??????? https://t.co/PVqRYaBa47
953,"Diario de un #autonomo / #autotonto

Empezar a disfrutar de un sábado que te llame un vecino del #JazzMan y te dig… https://t.co/ZxtSXZsjn4"
960,Abrimos en AGOSTO en horario regular ‼️ recuerda que puedes pedir para retirar ?? #lasmejoresarepas… https://t.co/EFACVXxRpQ
966,Casa Batlló é um edifício modernista mais precisamente modernista catalão concebido pelo arquiteto Antoni Gaudi… https://t.co/19edOnhMm4
999,"Pequeña calle.
.
.
.
.
.
#barcelona #playadebogatell #mercat #hotsauce #vacation #sun #sunglasses #enjoy #travel… https://t.co/UShjMAQ0og"
1019,Featured on ReverbNation Homepage!!! en Sant Andreu Cataluna Spain https://t.co/thDZYc9Py4
1026,#adolescentcontent #photography  #theportraitpr0ject #of2huma  @AdolescentUS #analogic en Barcelona Spain https://t.co/0Rc1k7F5R2
1029,Muy buena alternativa y excelente entreno por @bestcycling para entrenar ?️
1034,Casa Batlló é muito bela... um edifício modernista mais precisamente modernista catalão concebido pelo arquiteto … https://t.co/GPtFuqgEIp
1078,".
.
Me and you you and me ❤️?
.
#bcn #barcelona_world #lovebarcelona #ilovebarcelona #bcncity #sagradafamília… https://t.co/zCaEtanP8P"
1082,Vive el verano @innovarevents innovareventsdeutschland  #partyboat #boatbuilding #bcn #bcngourmet #barcelona_world… https://t.co/8KbGnXi1Jm
1101,❤? @ Camp Nou (FC Barcelona) https://t.co/Oar54Oppur
1103,"UPSIDE DOWN WITH A VIEW

The first attempt at this I looked back and could see the whole of  barcelona and I am not… https://t.co/4u4RmvgQHW"
1127,@insertclub es #techno y #respeto #goodfriends  #musicstudio #flyers #discount DOMINGO/SUNDAY 4TH AUGUST - insert N… https://t.co/tloBIRvXRy
1144,"#每日一晒
#foodporn
#cena en Camp de Les Corts https://t.co/byYCUiLQPN"
1158,El Curso de las Prácticas Profesionales en Obrador-Escuela de Pastelería?
1181,"Marxem de vacances alguns uns dies més q d’altres. A l’agost no obrim cap dissabte.
Nos vamos de vacaciones unos… https://t.co/idPDhyUiSo"
1186,"Lo mas importante en hacer algo es que eso por lo que te esfuerzas te llene el corazón y te puedas sentir bien.

V… https://t.co/78AvlDXiU5"
1189,Happy officialevo2k everyone! Shout out to all the Rose mains still left out in the cold. ? #streetfighter #rose… https://t.co/ggv9eS5ZUn
1191,"""Spariranno gli angoli e la materia si manifesterà abbondantemente nelle sue rotondità astrali: il sole vi penetrer… https://t.co/AvKOHKEc5v"
1195,"19 - 29 #septiembre 2019 @artssantamonica
.
[es]
Siguiente Confirmación para el Área Presente
Hugo Carrasco_ESP -… https://t.co/ZJ6MoAtDK0"
1202,"El #barrigotic
de #Barcelona está lleno de bellas calles y comercios muy variados. Te invitamos a recorrerlo con lo… https://t.co/mVJFuI2GjW"
1209,I'm at Hotel Oasis in Barcelona Spain https://t.co/jF2I62JhK8
1236,Подготвени за гласање... @ Camp Nou (FC Barcelona) https://t.co/nubOfOHUqF
1256,...демократски и јавно... секој цент мора да се знае каде сме го потрошиле како услуга за сите пењи низ светот. Одо… https://t.co/7WKVnCUZRb
1258,"Todays Thermie Reflex therapy
Method Lone Sorensen
https://t.co/EESIn4N5Yt

#faceyoga #facereflexology… https://t.co/hONbJ0hrfx"
1275,Vvltures https://t.co/CkqzH1wLIQ en #Barcelona #mañana #music #concert
1280,They don’t really make em like me anymore ?? @ Barcelona Spain https://t.co/VWQPGrDnpd
1281,"Summer: time to desappear
#summer #time #disappear #disappearing #wall #concrete #chair #nobody #silence #97 #98… https://t.co/JoIAXrEacl"
1291,"Ven haznos una visita y llévate algo nuevo de la colección #FW2K19 y lucelo con mucho estilo! ??

#Grimeywear… https://t.co/zixpmmljl1"
1293,Coffee break. (@ Forn de pa Imperio in Barcelona Cataluña w/ @ladychu04) https://t.co/cUaDfsZEsp https://t.co/6W9sLHqnqa
1302,I'm at Sagrada Família - @sagradafamilia in Barcelona https://t.co/nVkIU89c9j
1304,Finished artwork: self indulgent cheesy scene because I need it like air. #escaflowne en Barcelona Spain https://t.co/LQUfzc8ypY
1308,Barcelona a capital city of Catalonia is known for its art and architecture and in the short amount of time we walk… https://t.co/d082AeNins
1321,Valfaccenda Vindabagna Bianco 2017 Arneis del Roero #skincontact #skinfermented #canale #piamonte #lucafaccenda… https://t.co/6QvUfaVrKy
1331,"Puente ?
.
.
.
#puente #puentes #viaje #Barcelona #instapic #instaphoto #fotografia #foto #Photo #photography… https://t.co/0o0Mk24y8g"
1341,Waving Flag #humanflag #flag #calisthenics #streetworkout #workout #workoutmotivation #strength #fit #fitness… https://t.co/SOyvqUzvEU
1350,Oficial mente de Vacaciones...... nos vemos a la vuelta o en bici ... jajajaja del día 4 al 26 agosto  ... a repone… https://t.co/nHsxsAExCs
1355,"Hoy
????
.
.
.
#monologuista #monologos #monologo #videosdehumor #videosderisa #monólogos #humor #comediante… https://t.co/AlN8SybHYv"
1365,"Felíz sábado Jijonenquer@s  !!
Ahí van tres de nuestros sabores.
#avellana #lechemerengada #vainillacookies… https://t.co/9KgZ1GwEPs"
1382,Bella giornata turistica e marina con amico nob. cesare.torregiani en Barcelona Spain https://t.co/RK6VrAa2BT
1387,golden hour in my golden @PrincessPollyAU slip dress ✨ @ Gothic Quarter Barcelona https://t.co/hNrgYr05GL
1398,COMPOSICIONS : Durante más de 30 años Christian Marclay se ha dedicado a explorar las conexiones entre lo visual y… https://t.co/CUtgYIeKzC
1401,"A must see place and make sure to say hello and shop at my new contact #olivefrances in #Barcelona
.
.
.
.
.
.… https://t.co/zSNw6zZRKy"
1413,"Admirando Barcelona desde las alturas ?
.
.
.
#Barcelona #Viaje #instapic #pictureoftheday  #Photo en Barcelona Sp… https://t.co/qxJ5uXohPL"
1436,"Daily dose of inspiration :

Las Arenas. Gran Via de les Corts Catalanes. Barcelona. Catalunya. España

•

Créées… https://t.co/0Q3Cf69K5U"
1441,"Flying like a boss...
#dragonball #kinton en Galeries Maldà https://t.co/9J1Rfl4y3W"
1445,"#klasikoa es ahora una tendencia en #Barcelona

https://t.co/Jkpyhr1VvH https://t.co/E3Sr8ZqmeB"
1448,Simple the best ??????????? great work at the Arm Chair Invented for Joe Pilates; “Moving from the ❤️” Moving from… https://t.co/Km9qyIL7sN
1454,Giovane escort brasiliana! Scopri le foto di Lali adesso: https://t.co/uQgqEztane #FelinaBarcelona
1459,Пауза за кафица мафица... ❤? @ Camp Nou (FC Barcelona) https://t.co/e6o6t6QimY
1474,"Ya falta poco para el Caloret de este año y ellos también vuelven!!! xavicc24 los estas esperando verdad ?
#somunió… https://t.co/t0SQmkMBrx"
1477,A quick jamón sampler for breakfast en route to Roma ?? @ Enrique Tomás https://t.co/cgxP2aTi4q
1488,Bye bye #barcelona - schön wars auch wieder. Bis bald. (@ Terminal E del Port de Barcelona in Barcelona Katalonien… https://t.co/NezmWnWBNg
1491,"No puedo pedirle más a la vida que salud para verlas crecer ?? ?

#familia #hijas #sobrinas #momentosinolvidables… https://t.co/K7B33INtBS"
1498,Yoga is the most grateful thing you can do. Even better when you can share it. #yoga #yogamom #babyboy #yogababy… https://t.co/2lPRQob6eq
1519,@missionleak #wolf #teambuilding #bankofthaqar #escaperoombarcelona #r3c #escaperoom #missionleak #teamwork… https://t.co/rL30k2qeI1
1529,"SE GOZO ANOCHE EN EL BAILODROMO EN BARCELONA ESPAŃA...
ESTA NOCHE EN LA ZONA EN SU SEGUNDO ANIVERSARIO EN IGUALADA… https://t.co/jH4w3fKKu7"
1533,Salmón with soya sauce and kiwi cream #siamoquabcn #firstpost #barcelona #healthyfood #delicious #firstphoto… https://t.co/hn9ITKAYOK
1541,These hoes were faded! ? #winetourcruise @ Badalona https://t.co/es4FkqArRp
1552,"? día 215/365: ... yo ... .

#mis365dias #live #love #laugh #mismomentos #diasdeverano #diasdejulio… https://t.co/oe179rreKa"
1591,"La Fachada De Sagrada Família
2019.07.04
Barcelona Catalonia Spain
The details on this building are nothing sh… https://t.co/Fct5d07HXv"
1595,"It’s hot but not too hot to practice. #balltime #cantwaitfortheseasontostart #weareimps
#fcbarca #barcafc @ Camp N… https://t.co/Nprou7No49"
1618,Nothing like a stroll through the local market on a Saturday- oh the fun snack food and fruit inspired drinks to gi… https://t.co/h1EpzPboBO
1636,Cada vez reconozco menos Barcelona una ciudad que ha pasado a no ser interesante #BCN #barcelona https://t.co/YOvDcw8vx0
1657,Nachos! #mrcrazychucotown #barcelonaspain #elpaso #estilochuco #europe #tattoolife #travel @ Barcelona Spain https://t.co/TXtOsUPK4r
1667,im a motherfuckin train wreck @ Mirador Miramar Montjuich https://t.co/wkuKVABMDm
1683,Acaba de publicar un vídeo en El Raval Barcelona https://t.co/7tX19XOHni
1684,see ya in 2026 #gaudi #sagradafamilia @ Basílica de la Sagrada Família https://t.co/sYFKcSOFqH
1692,Just posted a photo @ W Hotel Barcelona Spain https://t.co/4N7KS7F6km
1704,Chocolate Soufflè Cake With Raspberry. en Plaza Espanya https://t.co/fT5CTFTbOq
1723,Last day in Barcelona! Ibiza on deck... #Barcelona #Spain #EmmettsWorldTour @ W Hotel Barcelona Spain https://t.co/fq0XCScJUD
1749,2018 ?✨? em Barcelona Spain https://t.co/3eTQyZ5NkI
1752,?? à la Sagrada Familla Barcelona https://t.co/KSFN0jWBVP
1774,On route to Seoul (@ Terminal 1 in El Prat de Llobregat Barcelona) https://t.co/5T0KkZMffT
1777,"How smoke in my soul...XVS
Stolen moments at time with my #xvsmodel macho_jim dressed by roblondonofficial for… https://t.co/wSHVEqtIUb"
1780,"En qué trabajamos hoy ???
Globos+globos =?
Decoramos todo tipo de eventos contactanos trabajamos en Barcelona teléf… https://t.co/UPxt9WxLfs"
1833,"...фокус на викендот... утре во живо ФК Барселона-Арсенал...
❤? @ Camp Nou (FC Barcelona) https://t.co/6WtOD0pOqt"
1836,"#스페인 ??
.
.
.
.
내가 제일 감명 깊었던 ‘벙커’
그리고 거의 제일 많은 시간 머물렀던 곳
스페인 바르셀로나의 높은 곳에 올라서서 그 아래를 바라보며 해가 지는 것을 지켜보던 그때... 또 느끼고… https://t.co/Eupq7ZQBFE"
1852,"When I met you in the summer. ?☀️
.
.
.
.
#garden #outdoor #person #summer #swimmingpool #outdoors #lifestyle… https://t.co/n9rpqt2WfU"
1880,Estém al carrer Entença... https://t.co/ULCao9RqrC
1893,Este verano nuestra ya tradicional serie de verano en el abc_diario de #Catalunya va sobre algunos de los protagon… https://t.co/wzlNg89lST
1898,Root en JupiterJuegos https://t.co/g6ZLeAeG0Z
1900,#coke #calor #tarda #relax #casa en Gràcia https://t.co/s0UiNShMO7
1905,"¡A por la última función en el @Liceu_cat !
Orgulloso de tod@s vosotr@s @infonajarro
#balletnacionaldeespaña… https://t.co/52ftAre1xT"
1914,"natural_beat_europe_festival

#EventoSolidario
#arteurbano
#graffiti
#breakdance

karajos_freshit en Europa https://t.co/eia2hA6B8l"
1928,donnalee.blueroomess en @viupanoramic #shuresm58 #concert #sun #mountain #electrovoicespeakers #mackieprofx12v2… https://t.co/0HeCWeB3xo
1958,donnalee.blueroomess en @viupanoramic #shuresm58 #concert #sun #mountain #electrovoicespeakers #mackieprofx12v2… https://t.co/whAjqnFp1s
1964,Noches de cine en el Park Güell: En construcción https://t.co/sZngUeym0F en #Barcelona #cine
1981,Van a enviar mis canciones a discográficas y demás!!! Yupiiiiii!!! en Sant Andreu Cataluna Spain https://t.co/deaxpHrw5i
1999,Drinking a PMA (Positive Mental Attitude) by @drinkmoorbeer @ Poble Espanyol (Pueblo Español) — https://t.co/RwJMkZpQOx
2002,It's crazy how fast life can change. One year ago today I was working as an au pair for the last time and getting… https://t.co/zLDfXGUkde
2005,Dades a les 20:00: 29.5ºC 66.0% 1013.2 hPa 19 km/h SSW
2008,Acabei de publicar uma foto em Basílica de la Sagrada Família https://t.co/hl4thm7sBe
2011,Necesitaba un boost the energía esta semana y conseguí esta foto del día que conocí a dos personas INCREÍBLES per… https://t.co/y0ZBRNemKY
2013,"Vacaciones!!!!!
.
Vamossss!!!!!! ????????????? en El Prat de Llobregat https://t.co/Pm6P5iLebK"
2019,"The sea is the only place were I really feel free..

Photographer: ? alex_pele
#patrickdei #patrick #beach #sea… https://t.co/3y9F3pPJ3B"
2024,Showdoooooooown y Liga de verano!!! :D #MtgStandard en El Nucli https://t.co/w8V4QHCsLQ
2026,Hoy con un aura súper cute y en buena Onda... gracias prima por mi torta acertaste en Todo!!! en Barcelona Spain https://t.co/OVZji6PmZg
2037,Pelito recién cortado ??
2038,A few hours spent strolling around Barcelona #barcelona #spain?? #weekendsaway #sagradafamilia #gaudiarchitecture @… https://t.co/xTb9TkVNps
2059,ФКБ отпечати ексклузивно издание на книга по повод 100-те години постоење на пењите со специјална посвета за нашат… https://t.co/wVPa9tX0t1
2076,A bull fighting arena turned into a mall  ??  A good way to use a historical place rather than tearing it down let… https://t.co/tHhlwTnUHt
2099,I'm at Cal Pep in Barcelona https://t.co/W6k8hUDkRJ
2112,"Vacaciones de ???
#vacacionesdeverano #verano2019 #descanso #relax #turismo #fashionverano en Barcelona Spain https://t.co/sVUr1rlHWS"
2115,Alot of art! #mrcrazychucotown #myskintattoo #barcelonaspain #elpaso @ Barcelona Spain https://t.co/x1EvZpOdp0
2160,Hablando de la crisis climática en Barcelona Spain https://t.co/5YunnaMQ78
2163,...забавата може да започне... само за пењистите и нивните гости по повод утрешниот Конгрес и Џоан Гампер Купот...… https://t.co/PFuTmerfJN
2174,Just went for a walk with my parents to the top of the hill behind their place where you get a view of Barcelona's… https://t.co/Xqam2xpA8u
2185,"...време е за журка загревање за утре...
❤? @ Camp Nou (FC Barcelona) https://t.co/3PLH3PfEb2"
2205,A vato from LA that was putting up a placaso. Firme gente!! @skateallcities #myskintattoo #mrcrazychucotown #travel… https://t.co/ZGyqk65kdU
2206,"⛵️ Todo a estribor ⛵️
.
.
#sea #estribor #velero #bonavidatu en Port Olimipic https://t.co/STkeO9JPLO"
2207,Ya tenemos disponible mi LP “Corpore Insepulto”. Un trabajo que se compone con un total de 12 cortes en los que apa… https://t.co/oKNuCwcp7O
2209,Zaguán &amp; Alento #ballet en Gran Teatre del Liceu https://t.co/y7HXmvbSlj
2222,"Una de hace tiempo pero que ya tocaba que viera la luz. @daruma_sn?
.
.
.
#daruma #youtuber #mc #base #hiphop… https://t.co/f66eyGxgkG"
2230,Acaba de publicar una foto en Arco de Triunfo de Barcelona https://t.co/IsKuU49yp7
2258,Tuuuudo tãaaao lindo!!!!! ???? #PlaçaReial #EuroTrip #Vacations #Barça em Barrio Gótico de Barcelona https://t.co/JdFPXc4OW8
2288,"·Ma'i·
mai.concept
?: Pg. Taulat 262.
??: 7€
??: Pluscuamperfectas. Unas patatas que regresan del futuro. Someten… https://t.co/CNNab0iogb"
2309,HET UILTJE Psycho Pekko Parrot #paleale #cerveza #beer #birra en Biercab https://t.co/3DKgbq4kZP
2317,I'm at Fuente Mágica de Montjuïc in Barcelona https://t.co/aGV05nd2EV https://t.co/CfF1fooVeE
2318,I'm at bikram yoga in Barcelona CT https://t.co/vpT6DeAqHn
2332,"?
.
.
.
#gracia #sunset #bcn #barcelona en Gràcia https://t.co/pqKwARNr2H"
2334,Го пренесувам поздравот кој беше испратен до сите пењи присутни на овој прекрасен ден... нека е среќна и успешна и… https://t.co/qfEyqkN811
2335,"⠀⠀⠀⠀⠀⠀⠀⠀⠀
Comencem el mandat al costat dels veïns/es treballem per Barcelona.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#hg7 #barriabarri en Barce… https://t.co/HN19QG6qR1"
2343,❤?❤?❤? @ Camp Nou (FC Barcelona) https://t.co/bKOtVRJuKH
2359,"Over the Bridge.
•
•
•
•
•
•
•
•
#igers #igersbcn #igersspain #igersespaña #igerscatalunya #colores #colours… https://t.co/uynrq31Qhw"
2377,Walking #mrcrazychucotown #myskintattoo #estilochuco #barcelonaspain #tattoolife #travel  #livelife #elpaso… https://t.co/7tGdCYJzgv
2392,Barcelona: 9:07pm: sunset
2409,Mi cena estuvo??DELICIOSA??
2413,"#futbolero #futbol #Ter #tertimu #rabona #estiu #agost3d31
leloy_87 en Cerdanyola del Vallès https://t.co/lvxIez1was"
2415,"? Bang ~ Bang.. Weekend! ?
?Barcelona - Spain ??✌
▪︎▪︎▪︎▪︎▪︎
#barcelona #catalunya #barcelonacity #bcn
#barceloneta… https://t.co/3PWhPCpXE4"
2418,@missionleak #wolf #teambuilding #bankofthaqar #escaperoombarcelona #r3c #escaperoom #missionleak #teamwork… https://t.co/fCRO8taNAF
2420,"current weather in Barcelona: clear sky 27°C
69% humidity wind 4kmh pressure 1012mb"
2425,la tienda online para hombres  https://t.co/NABtftD0Vb #modahombre #ropainterior #bañadores #leather #fashion #gay… https://t.co/3PsQKjceyT
2430,"...време за закуска на каталонски начин...
❤? @ Camp Nou (FC Barcelona) https://t.co/SnEmp5qbwd"
2432,Propa is coming... en Poble Espanyol de Barcelona https://t.co/O8wWH4UkHN
2434,21:20 en El Raval Barcelona https://t.co/i1nEOgB64Q
2435,Atardecer en nuestra plata del Prat. Un privilegio si señor. en El Prat de Llobregat https://t.co/czpvG4k4u3
2461,"- CRICKET ASIAN CUP 2019 BARCELONA -

#cricket #cricket2019 #asiancup2019 #asiancupbarcelona #cricketasiancup… https://t.co/EVCMtOKG0B"
